event_index,distance_bin,network,station,location,Z_channel,distance_deg,azimuth_deg,catalogue_radiation_energy_fraction,radiation_energy_qc,coverage_Z,SNR_Z,coverage_R,SNR_R,coverage_T,SNR_T,mustang_available,mustang_noise_db,noise_difference_from_best_db,noise_qc,selected,used_components
0,3_12_deg,DK,NRS,,BHZ,8.253997731068736,166.70012969673647,0.29669565796998687,True,1.0,3.0799502974831916,1.0,0.6873704358712435,1.0,1.000814682626855,True,-175.71208536737365,0.0,True,True,Z
0,3_12_deg,DK,SCO,,BHZ,9.467356552196618,69.68172418561907,0.5886634400580963,True,1.0,2.322876184008532,1.0,1.4159530338375899,1.0,0.7647732309432644,True,-161.69877050479698,14.013314862576664,True,True,Z
0,3_12_deg,CN,ILON,,BHZ,11.397806700245898,285.9335729938589,0.9958734142792535,True,1.0,2.3287727709983583,1.0,0.756851048169728,1.0,0.7108487838267405,True,-169.97789132978906,5.734194037584587,True,True,Z
0,20_30_deg,IU,KEV,00,BHZ,25.110056794676453,52.68454818583126,0.2989911250742048,True,1.0,2.2020232464178053,,,,,True,-180.97995090677375,0.0,True,True,Z
0,40_50_deg,GE,TIRR,,BHZ,45.00273705417974,81.26068038311622,0.7748006426835109,True,1.0,2.3509407532580844,,,,,True,-180.01298110982847,0.0,True,True,Z
0,40_50_deg,TA,X30A,,BHZ,44.77325630439111,246.69894830363407,0.5371292381617605,True,1.0,2.169578463422901,,,,,True,-176.32181213209665,3.69116897773182,True,True,Z
1,3_12_deg,DK,TULEG,,BHZ,9.169508052680488,331.176390856533,0.5447687150922891,True,1.0,2.3400360697425326,1.0,0.9651582787467815,1.0,0.9376494815012709,True,-176.270270504797,2.2254284945592246,True,True,Z
1,3_12_deg,GE,SUMG,,BHZ,4.953440059867349,42.46649229256691,0.21730871725519607,True,1.0,2.120827373903217,1.0,0.5805558093990896,1.0,1.5579276203949468,True,-178.49569899935622,0.0,True,True,Z
1,3_12_deg,CN,ILON,,BHZ,11.288906067549794,285.7457558947888,0.999150556301488,True,1.0,2.054035424766888,1.0,0.9039563235511374,1.0,1.1954640002086359,True,-166.25810819535974,12.237590803996483,True,True,Z
1,20_30_deg,II,ESK,00,BHZ,24.86050343056156,100.30541308905275,0.9852307332100916,True,1.0,2.2205150765096144,,,,,True,-180.29926157987921,0.0,True,True,Z
1,40_50_deg,XB,PM29,,BHZ,44.97131139562402,121.49157729902934,0.9439486405602127,True,1.0,2.091810854260487,,,,,True,-173.85198896387777,0.0,True,True,Z
1,40_50_deg,TA,136A,,BHZ,45.111883193441926,240.53814061638386,0.49159561270449104,True,1.0,3.3383766799010677,,,,,True,-165.0416256275298,8.810363336347962,True,True,Z
3,3_12_deg,DK,SOEG,,BHZ,6.670564543553807,90.47694900139038,0.42462112174193783,True,1.0,3.2444145501198967,1.0,3.150068099872554,1.0,2.679708841498631,True,-179.0105061276509,1.0040652384045075,True,True,"Z,R,T"
3,3_12_deg,DK,ANGG,,BHZ,5.83832130039631,122.8951736651225,0.8972538838805921,True,1.0,2.2125477876303004,1.0,1.3552068722579547,1.0,2.609649921692456,True,-171.6535043840168,8.361066982038608,True,True,"Z,T"
3,3_12_deg,DK,NUUK,,BHZ,5.150442355573532,190.4665886850806,0.48297152357953116,True,1.0,2.5576069516922546,1.0,0.6969482544123035,1.0,1.093224747070469,True,-179.18772224049815,0.8268491255572599,True,True,Z
3,20_30_deg,II,ESK,00,BHZ,24.82381069872425,100.44483242310608,0.5854776284872566,True,1.0,2.9752115257097893,,,,,True,-180.9804085748599,0.0,True,True,Z
3,20_30_deg,GB,EDI,,BHZ,24.352584597311854,99.5236134071057,0.5705720434121306,True,1.0,2.4746623696229753,,,,,True,-170.03660996640193,10.943798608457968,True,True,Z
3,40_50_deg,TA,342A,,BHZ,44.908056003458555,235.37702228349235,0.0714911212562776,True,1.0,2.296703532050103,,,,,True,-177.03071008417857,3.713149371119158,True,True,Z
3,40_50_deg,MN,VTS,,BHZ,44.845076930961866,87.02028786845938,0.37095619077936115,True,1.0,3.054628482955701,,,,,True,-180.74385945529772,0.0,True,True,Z
4,3_12_deg,DK,NRS,,BHZ,8.254817839011727,166.6668947360692,0.3553497698294346,True,1.0,3.6473604658903014,1.0,0.7913003034131153,1.0,0.7303746412296015,True,-178.09888536737364,1.0989466871543243,True,True,Z
4,3_12_deg,DK,SOEG,,BHZ,6.602778159594292,90.48705908475529,0.8891372392376347,True,1.0,4.6140003617171805,1.0,0.9758759700740083,1.0,2.48574664387439,True,-179.19783205452796,0.0,True,True,"Z,T"
4,3_12_deg,DK,ICESG,,BHZ,3.461197474268973,87.75051674106615,0.8586483731241457,True,1.0,3.9746195798251724,1.0,1.3146881948422569,1.0,1.184430408365257,True,-177.086931715937,2.110900338590966,True,True,Z
4,20_30_deg,II,ESK,00,BHZ,24.753663355474096,100.60652169531888,0.9717378954402519,True,1.0,2.316458892913656,,,,,True,-179.37160380112803,0.0,True,True,Z
4,40_50_deg,TA,342A,,BHZ,44.95241250871906,235.60974851321066,0.371478868320717,True,1.0,2.054394968477872,,,,,True,-174.44251008417856,0.7933623801648935,True,True,Z
4,40_50_deg,XB,PM29,,BHZ,44.875142546823234,121.81980115243081,0.9645988750224129,True,1.0,20.399721334744886,,,,,True,-175.23587246434346,0.0,True,True,Z
