event_index,event_name,analysis_band_fmin,analysis_band_fmax,catalogue_force_amplitude,fixed_catalogue_azimuth_deg,catalogue_plunge_deg,preferred_plunge_deg,preferred_joint_CC,catalogue_joint_CC,joint_CC_improvement,search_boundary_warning,station_count,distance_bin_count
0,S201101210832A,0.006666666666666667,0.02,36725141252.28111,289.6202096415444,-2.496988965009564,5.0,0.5088998454693868,0.4933310924062882,0.015568753063098628,False,6,3
1,S201106261031A,0.006666666666666667,0.02,27317393726.342197,287.4565581336669,12.515970884282702,-45.0,0.5264094070199518,0.1946626814501821,0.3317467255697697,False,6,3
3,S201108181231A,0.006666666666666667,0.02,34159531612.713894,142.2957567786092,-15.206501418599146,50.0,0.20381100085679704,0.11624495850201282,0.08756604235478423,False,7,3
4,S201112211540A,0.006666666666666667,0.02,41329892329.88637,290.60969293753203,14.574216198038739,-25.0,0.37889960881342993,0.29274959905099146,0.08615000976243847,False,6,3
